Epoch [1/15],  U_d: -0.0250,  U_a: -0.9967,  test accuracy: 0.6746,  forget accuracy: 0.9958,  retain accuracy: 0.9976,  att accuracy: 0.5016,  MIA accuracy: 0.7071,  MIA auc: 0.7536,  MIA recall: 0.9302, 
Epoch [2/15],  U_d: -0.4098,  U_a: -1.0126,  test accuracy: 0.5768,  forget accuracy: 0.8222,  retain accuracy: 0.8872,  att accuracy: 0.4936,  MIA accuracy: 0.6068,  MIA auc: 0.6336,  MIA recall: 0.7478, 
Epoch [3/15],  U_d: -0.2995,  U_a: -1.0010,  test accuracy: 0.5944,  forget accuracy: 0.7964,  retain accuracy: 0.8974,  att accuracy: 0.4994,  MIA accuracy: 0.5913,  MIA auc: 0.6234,  MIA recall: 0.6780, 
Epoch [4/15],  U_d: -0.2136,  U_a: -1.0030,  test accuracy: 0.6010,  forget accuracy: 0.7726,  retain accuracy: 0.8931,  att accuracy: 0.4984,  MIA accuracy: 0.5642,  MIA auc: 0.5902,  MIA recall: 0.6364, 
Epoch [5/15],  U_d: -0.2450,  U_a: -1.0008,  test accuracy: 0.6054,  forget accuracy: 0.7778,  retain accuracy: 0.9113,  att accuracy: 0.4995,  MIA accuracy: 0.5740,  MIA auc: 0.5998,  MIA recall: 0.6698, 
Epoch [6/15],  U_d: -0.2532,  U_a: -0.9950,  test accuracy: 0.6252,  forget accuracy: 0.8134,  retain accuracy: 0.9565,  att accuracy: 0.5024,  MIA accuracy: 0.5860,  MIA auc: 0.6094,  MIA recall: 0.7134, 
Epoch [7/15],  U_d: -0.0777,  U_a: -0.9862,  test accuracy: 0.6194,  forget accuracy: 0.8032,  retain accuracy: 0.9574,  att accuracy: 0.5068,  MIA accuracy: 0.5758,  MIA auc: 0.6012,  MIA recall: 0.7010, 
Epoch [8/15],  U_d: -0.1551,  U_a: -1.0056,  test accuracy: 0.6088,  forget accuracy: 0.7746,  retain accuracy: 0.9420,  att accuracy: 0.4971,  MIA accuracy: 0.5691,  MIA auc: 0.6001,  MIA recall: 0.6732, 
Epoch [9/15],  U_d: -0.0231,  U_a: -0.9998,  test accuracy: 0.6138,  forget accuracy: 0.7840,  retain accuracy: 0.9552,  att accuracy: 0.5000,  MIA accuracy: 0.5768,  MIA auc: 0.5975,  MIA recall: 0.6810, 
Epoch [10/15],  U_d: -0.0613,  U_a: -0.9902,  test accuracy: 0.6114,  forget accuracy: 0.7728,  retain accuracy: 0.9417,  att accuracy: 0.5048,  MIA accuracy: 0.5687,  MIA auc: 0.5909,  MIA recall: 0.6798, 
Epoch [11/15],  U_d: -0.0229,  U_a: -1.0118,  test accuracy: 0.6008,  forget accuracy: 0.7524,  retain accuracy: 0.9347,  att accuracy: 0.4940,  MIA accuracy: 0.5608,  MIA auc: 0.5794,  MIA recall: 0.6644, 
Epoch [12/15],  U_d: -0.0361,  U_a: -1.0074,  test accuracy: 0.6040,  forget accuracy: 0.7464,  retain accuracy: 0.9360,  att accuracy: 0.4962,  MIA accuracy: 0.5570,  MIA auc: 0.5791,  MIA recall: 0.6508, 
Epoch [13/15],  U_d: -0.2297,  U_a: -1.0028,  test accuracy: 0.5920,  forget accuracy: 0.7234,  retain accuracy: 0.9268,  att accuracy: 0.4985,  MIA accuracy: 0.5623,  MIA auc: 0.5822,  MIA recall: 0.6468, 
Epoch [14/15],  U_d: -0.1983,  U_a: -0.9906,  test accuracy: 0.6084,  forget accuracy: 0.7430,  retain accuracy: 0.9467,  att accuracy: 0.5046,  MIA accuracy: 0.5496,  MIA auc: 0.5702,  MIA recall: 0.6400, 
Epoch [15/15],  U_d: -0.1493,  U_a: -1.0156,  test accuracy: 0.5854,  forget accuracy: 0.7146,  retain accuracy: 0.9212,  att accuracy: 0.4921,  MIA accuracy: 0.5459,  MIA auc: 0.5656,  MIA recall: 0.6310, 
